Date,Open,High,Low,Close,Adj Close,Volume
2019-04-03,177.259995,179.770004,176.809998,179.690002,174.674545,2644100
2019-04-04,178.509995,193.190002,178.119995,191.449997,186.106323,7719600
2019-04-05,191.500000,193.710007,189.160004,193.300003,187.904694,4639500
2019-04-08,192.500000,192.660004,190.559998,192.339996,186.971466,2866200
2019-04-09,191.339996,192.330002,189.559998,190.889999,185.561951,1917900
2019-04-10,191.000000,191.600006,188.630005,190.100006,184.794022,1399100
2019-04-11,190.029999,191.600006,189.110001,191.169998,185.834137,1847300
2019-04-12,192.199997,192.520004,190.229996,190.529999,185.212006,948500
2019-04-15,190.690002,191.000000,189.320007,190.919998,185.591110,1447600
2019-04-16,191.009995,191.460007,189.550003,190.009995,184.706512,2025300
2019-04-17,190.949997,192.869995,189.850006,191.580002,186.232697,1090900
2019-04-18,193.339996,199.880005,193.339996,198.800003,193.251175,2881500
2019-04-22,198.529999,205.750000,198.259995,205.460007,199.725281,2196900
2019-04-23,206.830002,209.199997,204.929993,207.479996,201.688904,2256500
2019-04-24,208.149994,210.419998,207.899994,210.139999,204.274643,1666900
2019-04-25,208.809998,214.479996,208.809998,212.160004,206.238281,1900700
2019-04-26,213.000000,214.360001,211.500000,212.160004,206.238281,1329600
2019-04-29,212.360001,213.339996,210.679993,212.539993,206.607651,1078400
2019-04-30,212.100006,212.770004,209.910004,211.669998,205.761963,1532600
2019-05-01,211.600006,213.699997,211.210007,212.089996,206.170242,876500
2019-05-02,211.139999,211.690002,207.660004,209.119995,203.283127,1569400
2019-05-03,210.130005,212.059998,209.789993,211.399994,205.499496,1113900
2019-05-06,208.279999,211.300003,208.000000,210.410004,204.537109,1166400
2019-05-07,209.130005,209.639999,206.740005,207.869995,202.068008,1227900
2019-05-08,207.160004,208.770004,206.750000,207.190002,201.406998,840800
2019-05-09,205.160004,206.580002,201.820007,201.889999,196.967911,1833400
2019-05-10,201.059998,204.009995,199.270004,203.229996,198.275238,1617000
2019-05-13,200.080002,201.669998,199.020004,201.059998,196.158157,1320100
2019-05-14,202.000000,207.250000,201.470001,205.330002,200.324051,1202000
2019-05-15,203.960007,207.789993,203.619995,204.990005,199.992355,1368700
2019-05-16,205.050003,207.529999,204.119995,206.800003,201.758224,873000
2019-05-17,205.089996,207.669998,204.770004,204.789993,199.797195,893500
2019-05-20,204.589996,205.330002,202.690002,203.050003,198.099640,1062000
2019-05-21,205.039993,206.779999,202.929993,205.000000,200.002090,1765700
2019-05-22,204.500000,205.419998,203.050003,204.970001,199.972824,865700
2019-05-23,204.130005,206.500000,203.740005,206.210007,201.182602,877200
2019-05-24,202.500000,202.990005,196.270004,198.679993,193.836182,2526800
2019-05-28,198.350006,198.600006,193.339996,194.240005,189.504425,3271700
2019-05-29,193.559998,193.559998,187.580002,188.899994,184.294601,1483300
2019-05-30,188.889999,190.660004,186.089996,187.289993,182.723877,1083400
2019-05-31,175.000000,177.309998,171.270004,176.449997,172.148148,6252400
2019-06-03,177.279999,179.580002,176.559998,177.229996,172.909134,4607900
2019-06-04,181.380005,184.729996,179.800003,184.440002,179.943344,2238700
2019-06-05,185.929993,187.860001,183.779999,187.000000,182.440933,1639600
2019-06-06,185.860001,187.250000,181.740005,184.160004,179.670181,2310100
2019-06-07,185.029999,190.020004,184.699997,188.399994,183.806793,1814800
2019-06-10,194.009995,194.539993,191.449997,191.960007,187.280014,2042300
2019-06-11,192.009995,195.300003,191.809998,194.960007,190.206879,1306800
2019-06-12,195.119995,195.360001,189.119995,189.320007,184.704376,1041100
2019-06-13,189.000000,190.050003,186.750000,189.339996,184.723877,1111400
2019-06-14,189.220001,190.029999,187.539993,187.630005,183.055573,724100
2019-06-17,187.289993,187.880005,186.330002,187.229996,182.665329,789700
2019-06-18,188.570007,188.570007,181.869995,181.970001,177.533585,1848800
2019-06-19,182.750000,184.399994,181.619995,184.320007,179.826263,1391500
2019-06-20,185.550003,188.089996,185.470001,185.740005,181.211670,1029800
2019-06-21,185.350006,185.679993,181.289993,183.729996,179.250671,2121100
2019-06-24,184.000000,184.830002,181.059998,181.259995,176.840866,1607100
2019-06-25,181.759995,184.270004,181.759995,183.899994,179.416504,2273100
2019-06-26,184.320007,185.750000,184.059998,185.020004,180.509216,1183300
2019-06-27,184.820007,189.080002,183.759995,188.210007,183.621460,2091400
2019-06-28,198.619995,200.589996,192.529999,196.940002,192.138580,7415800
2019-07-01,199.000000,200.000000,193.130005,196.089996,191.309311,2526500
2019-07-02,196.070007,198.979996,195.789993,198.660004,193.816681,1172400
2019-07-03,199.100006,200.229996,196.350006,199.899994,195.026413,917100
2019-07-05,198.960007,199.199997,196.360001,197.490005,192.675201,652200
2019-07-08,197.039993,200.250000,196.259995,200.100006,195.221573,1109500
2019-07-09,199.360001,199.589996,194.559998,198.039993,193.211746,2193800
2019-07-10,197.750000,201.929993,197.750000,200.789993,195.894730,1218400
2019-07-11,200.779999,201.889999,196.830002,197.669998,192.850800,970600
2019-07-12,197.889999,201.500000,197.619995,199.600006,194.733765,1213500
2019-07-15,199.710007,199.710007,197.490005,198.589996,193.748383,812400
